export_schema_version,export_date,data_as_of,rank,repo_id,full_name,owner,name,language,current_stars,crossed_10k,crossed_50k,crossed_100k,url,source_views,license,attribution
1,2026-08-28,2026-08-28T03:00:38.077Z,66,721767116,clash-verge-rev/clash-verge-rev,clash-verge-rev,clash-verge-rev,TypeScript,139532,2024-03-07,2025-03-14,,https://gitstarclub.com/clash-verge-rev/clash-verge-rev,rank/all-time/repo/stock.json;lookup/repos.json;entity/repo/721767116.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-08-28,2026-08-28T03:00:38.077Z,67,184456251,microsoft/PowerToys,microsoft,PowerToys,C,137973,2019-09-24,2021-01-02,2023-07-07,https://gitstarclub.com/microsoft/PowerToys,rank/all-time/repo/stock.json;lookup/repos.json;entity/repo/184456251.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-08-28,2026-08-28T03:00:38.077Z,68,157616880,iptv-org/iptv,iptv-org,iptv,TypeScript,136438,2019-11-28,2022-03-11,2025-05-05,https://gitstarclub.com/iptv-org/iptv,rank/all-time/repo/stock.json;lookup/repos.json;entity/repo/157616880.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-08-28,2026-08-28T03:00:38.077Z,69,23096959,golang/go,golang,go,Go,136181,2016-01-29,2018-10-26,2021-10-13,https://gitstarclub.com/golang/go,rank/all-time/repo/stock.json;lookup/repos.json;entity/repo/23096959.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-08-28,2026-08-28T03:00:38.077Z,70,241576270,labuladong/fucking-algorithm,labuladong,fucking-algorithm,Markdown,135424,2020-03-10,2020-07-08,2021-08-15,https://gitstarclub.com/labuladong/fucking-algorithm,rank/all-time/repo/stock.json;lookup/repos.json;entity/repo/241576270.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-08-28,2026-08-28T03:00:38.077Z,71,32484381,ripienaar/free-for-dev,ripienaar,free-for-dev,HTML,134032,2015-05-04,2021-05-27,2025-05-18,https://gitstarclub.com/ripienaar/free-for-dev,rank/all-time/repo/stock.json;lookup/repos.json;entity/repo/32484381.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-08-28,2026-08-28T03:00:38.077Z,72,793375104,Shubhamsaboo/awesome-llm-apps,Shubhamsaboo,awesome-llm-apps,Python,133630,2024-12-31,2025-08-31,,https://gitstarclub.com/Shubhamsaboo/awesome-llm-apps,rank/all-time/repo/stock.json;lookup/repos.json;entity/repo/793375104.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-08-28,2026-08-28T03:00:38.077Z,73,1042367133,github/spec-kit,github,spec-kit,Python,130856,2025-09-16,,,https://gitstarclub.com/github/spec-kit,rank/all-time/repo/stock.json;lookup/repos.json;entity/repo/1042367133.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-08-28,2026-08-28T03:00:38.077Z,74,231283452,excalidraw/excalidraw,excalidraw,excalidraw,TypeScript,130248,2020-07-20,2023-06-27,2025-06-14,https://gitstarclub.com/excalidraw/excalidraw,rank/all-time/repo/stock.json;lookup/repos.json;entity/repo/231283452.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-08-28,2026-08-28T03:00:38.077Z,75,561730219,krahets/hello-algo,krahets,hello-algo,Java,129561,2023-05-09,2023-12-01,2024-11-25,https://gitstarclub.com/krahets/hello-algo,rank/all-time/repo/stock.json;lookup/repos.json;entity/repo/561730219.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-08-28,2026-08-28T03:00:38.077Z,76,1179264259,garrytan/gstack,garrytan,gstack,TypeScript,129232,2026-03-31,,,https://gitstarclub.com/garrytan/gstack,rank/all-time/repo/stock.json;lookup/repos.json;entity/repo/1179264259.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-08-28,2026-08-28T03:00:38.077Z,77,589831718,Comfy-Org/ComfyUI,Comfy-Org,ComfyUI,Python,129046,2023-08-17,2024-09-30,,https://gitstarclub.com/Comfy-Org/ComfyUI,rank/all-time/repo/stock.json;lookup/repos.json;entity/repo/589831718.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-08-28,2026-08-28T03:00:38.077Z,78,1031912724,farion1231/cc-switch,farion1231,cc-switch,Rust,128880,2026-03-21,,,https://gitstarclub.com/farion1231/cc-switch,rank/all-time/repo/stock.json;lookup/repos.json;entity/repo/1031912724.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
