export_schema_version,export_date,data_as_of,rank,login,owner_type,repo_count,current_stars_sum,rank_value,url,source_view,license,attribution
1,2026-08-28,2026-08-28T03:00:38.077Z,1,microsoft,Organization,73,2527683,2527683,https://gitstarclub.com/o/microsoft,rank/all-time/org/stock.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-08-28,2026-08-28T03:00:38.077Z,2,google,Organization,44,943394,943394,https://gitstarclub.com/o/google,rank/all-time/org/stock.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-08-28,2026-08-28T03:00:38.077Z,3,openai,Organization,23,728598,728598,https://gitstarclub.com/o/openai,rank/all-time/org/stock.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-08-28,2026-08-28T03:00:38.077Z,4,apache,Organization,29,702583,702583,https://gitstarclub.com/o/apache,rank/all-time/org/stock.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-08-28,2026-08-28T03:00:38.077Z,5,sindresorhus,User,8,675392,675392,https://gitstarclub.com/o/sindresorhus,rank/all-time/org/stock.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-08-28,2026-08-28T03:00:38.077Z,6,codecrafters-io,Organization,1,542178,542178,https://gitstarclub.com/o/codecrafters-io,rank/all-time/org/stock.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-08-28,2026-08-28T03:00:38.077Z,7,alibaba,Organization,25,536256,536256,https://gitstarclub.com/o/alibaba,rank/all-time/org/stock.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-08-28,2026-08-28T03:00:38.077Z,8,anthropics,Organization,9,535569,535569,https://gitstarclub.com/o/anthropics,rank/all-time/org/stock.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-08-28,2026-08-28T03:00:38.077Z,9,huggingface,Organization,19,535329,535329,https://gitstarclub.com/o/huggingface,rank/all-time/org/stock.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-08-28,2026-08-28T03:00:38.077Z,10,deepseek-ai,Organization,10,519987,519987,https://gitstarclub.com/o/deepseek-ai,rank/all-time/org/stock.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-08-28,2026-08-28T03:00:38.077Z,11,vuejs,Organization,11,506198,506198,https://gitstarclub.com/o/vuejs,rank/all-time/org/stock.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-08-28,2026-08-28T03:00:38.077Z,12,react,Organization,4,496236,496236,https://gitstarclub.com/o/react,rank/all-time/org/stock.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-08-28,2026-08-28T03:00:38.077Z,13,freeCodeCamp,Organization,2,493805,493805,https://gitstarclub.com/o/freeCodeCamp,rank/all-time/org/stock.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-08-28,2026-08-28T03:00:38.077Z,14,github,Organization,11,483174,483174,https://gitstarclub.com/o/github,rank/all-time/org/stock.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-08-28,2026-08-28T03:00:38.077Z,15,public-apis,Organization,1,468749,468749,https://gitstarclub.com/o/public-apis,rank/all-time/org/stock.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-08-28,2026-08-28T03:00:38.077Z,16,donnemartin,User,4,440699,440699,https://gitstarclub.com/o/donnemartin,rank/all-time/org/stock.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
