export_schema_version,export_date,data_as_of,rank,login,owner_type,repo_count,current_stars_sum,rank_value,url,source_view,license,attribution
1,2026-07-18,2026-07-18T02:16:15.977Z,1,microsoft,Organization,71,2447445,2447445,https://gitstarclub.com/o/microsoft,rank/all-time/org/stock.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-07-18,2026-07-18T02:16:15.977Z,2,google,Organization,43,924126,924126,https://gitstarclub.com/o/google,rank/all-time/org/stock.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-07-18,2026-07-18T02:16:15.977Z,3,openai,Organization,22,692700,692700,https://gitstarclub.com/o/openai,rank/all-time/org/stock.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-07-18,2026-07-18T02:16:15.977Z,4,apache,Organization,28,689569,689569,https://gitstarclub.com/o/apache,rank/all-time/org/stock.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-07-18,2026-07-18T02:16:15.977Z,5,sindresorhus,User,8,661790,661790,https://gitstarclub.com/o/sindresorhus,rank/all-time/org/stock.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-07-18,2026-07-18T02:16:15.977Z,6,codecrafters-io,Organization,1,527041,527041,https://gitstarclub.com/o/codecrafters-io,rank/all-time/org/stock.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-07-18,2026-07-18T02:16:15.977Z,7,alibaba,Organization,25,522467,522467,https://gitstarclub.com/o/alibaba,rank/all-time/org/stock.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-07-18,2026-07-18T02:16:15.977Z,8,huggingface,Organization,18,516501,516501,https://gitstarclub.com/o/huggingface,rank/all-time/org/stock.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-07-18,2026-07-18T02:16:15.977Z,9,anthropics,Organization,9,514413,514413,https://gitstarclub.com/o/anthropics,rank/all-time/org/stock.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-07-18,2026-07-18T02:16:15.977Z,10,vuejs,Organization,11,505430,505430,https://gitstarclub.com/o/vuejs,rank/all-time/org/stock.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-07-18,2026-07-18T02:16:15.977Z,11,react,Organization,4,494906,494906,https://gitstarclub.com/o/react,rank/all-time/org/stock.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-07-18,2026-07-18T02:16:15.977Z,12,freeCodeCamp,Organization,2,491136,491136,https://gitstarclub.com/o/freeCodeCamp,rank/all-time/org/stock.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
