export_schema_version,export_date,data_as_of,rank,login,owner_type,repo_count,current_stars_sum,rank_value,url,source_view,license,attribution
1,2026-09-06,2026-09-06T06:37:28.831Z,1,microsoft,Organization,73,2544142,2544142,https://gitstarclub.com/o/microsoft,rank/all-time/org/stock.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-09-06,2026-09-06T06:37:28.831Z,2,google,Organization,44,946139,946139,https://gitstarclub.com/o/google,rank/all-time/org/stock.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-09-06,2026-09-06T06:37:28.831Z,3,openai,Organization,23,740005,740005,https://gitstarclub.com/o/openai,rank/all-time/org/stock.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-09-06,2026-09-06T06:37:28.831Z,4,apache,Organization,29,703735,703735,https://gitstarclub.com/o/apache,rank/all-time/org/stock.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-09-06,2026-09-06T06:37:28.831Z,5,sindresorhus,User,8,679937,679937,https://gitstarclub.com/o/sindresorhus,rank/all-time/org/stock.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-09-06,2026-09-06T06:37:28.831Z,6,deepseek-ai,Organization,10,547899,547899,https://gitstarclub.com/o/deepseek-ai,rank/all-time/org/stock.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-09-06,2026-09-06T06:37:28.831Z,7,codecrafters-io,Organization,1,545476,545476,https://gitstarclub.com/o/codecrafters-io,rank/all-time/org/stock.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-09-06,2026-09-06T06:37:28.831Z,8,anthropics,Organization,9,544330,544330,https://gitstarclub.com/o/anthropics,rank/all-time/org/stock.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-09-06,2026-09-06T06:37:28.831Z,9,huggingface,Organization,19,538363,538363,https://gitstarclub.com/o/huggingface,rank/all-time/org/stock.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-09-06,2026-09-06T06:37:28.831Z,10,alibaba,Organization,25,537852,537852,https://gitstarclub.com/o/alibaba,rank/all-time/org/stock.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-09-06,2026-09-06T06:37:28.831Z,11,vuejs,Organization,11,507516,507516,https://gitstarclub.com/o/vuejs,rank/all-time/org/stock.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-09-06,2026-09-06T06:37:28.831Z,12,react,Organization,4,497804,497804,https://gitstarclub.com/o/react,rank/all-time/org/stock.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-09-06,2026-09-06T06:37:28.831Z,13,github,Organization,12,497219,497219,https://gitstarclub.com/o/github,rank/all-time/org/stock.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-09-06,2026-09-06T06:37:28.831Z,14,freeCodeCamp,Organization,2,494490,494490,https://gitstarclub.com/o/freeCodeCamp,rank/all-time/org/stock.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-09-06,2026-09-06T06:37:28.831Z,15,public-apis,Organization,1,476032,476032,https://gitstarclub.com/o/public-apis,rank/all-time/org/stock.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-09-06,2026-09-06T06:37:28.831Z,16,donnemartin,User,4,443462,443462,https://gitstarclub.com/o/donnemartin,rank/all-time/org/stock.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-09-06,2026-09-06T06:37:28.831Z,17,nilbuild,User,3,441933,441933,https://gitstarclub.com/o/nilbuild,rank/all-time/org/stock.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-09-06,2026-09-06T06:37:28.831Z,18,karpathy,User,13,429600,429600,https://gitstarclub.com/o/karpathy,rank/all-time/org/stock.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-09-06,2026-09-06T06:37:28.831Z,19,TheAlgorithms,Organization,7,426007,426007,https://gitstarclub.com/o/TheAlgorithms,rank/all-time/org/stock.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-09-06,2026-09-06T06:37:28.831Z,20,EbookFoundation,Organization,1,396043,396043,https://gitstarclub.com/o/EbookFoundation,rank/all-time/org/stock.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-09-06,2026-09-06T06:37:28.831Z,21,facebookresearch,Organization,19,391094,391094,https://gitstarclub.com/o/facebookresearch,rank/all-time/org/stock.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-09-06,2026-09-06T06:37:28.831Z,22,openclaw,Organization,1,388981,388981,https://gitstarclub.com/o/openclaw,rank/all-time/org/stock.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-09-06,2026-09-06T06:37:28.831Z,23,facebook,Organization,19,388587,388587,https://gitstarclub.com/o/facebook,rank/all-time/org/stock.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-09-06,2026-09-06T06:37:28.831Z,24,vercel,Organization,11,377239,377239,https://gitstarclub.com/o/vercel,rank/all-time/org/stock.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-09-06,2026-09-06T06:37:28.831Z,25,jwasham,User,1,360414,360414,https://gitstarclub.com/o/jwasham,rank/all-time/org/stock.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-09-06,2026-09-06T06:37:28.831Z,26,tensorflow,Organization,6,340941,340941,https://gitstarclub.com/o/tensorflow,rank/all-time/org/stock.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-09-06,2026-09-06T06:37:28.831Z,27,vinta,User,1,318586,318586,https://gitstarclub.com/o/vinta,rank/all-time/org/stock.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-09-06,2026-09-06T06:37:28.831Z,28,awesome-selfhosted,Organization,1,317407,317407,https://gitstarclub.com/o/awesome-selfhosted,rank/all-time/org/stock.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-09-06,2026-09-06T06:37:28.831Z,29,Tencent,Organization,18,302495,302495,https://gitstarclub.com/o/Tencent,rank/all-time/org/stock.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-09-06,2026-09-06T06:37:28.831Z,30,HKUDS,Organization,10,297504,297504,https://gitstarclub.com/o/HKUDS,rank/all-time/org/stock.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-09-06,2026-09-06T06:37:28.831Z,31,practical-tutorials,Organization,1,282243,282243,https://gitstarclub.com/o/practical-tutorials,rank/all-time/org/stock.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-09-06,2026-09-06T06:37:28.831Z,32,obra,User,1,282160,282160,https://gitstarclub.com/o/obra,rank/all-time/org/stock.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-09-06,2026-09-06T06:37:28.831Z,33,trimstray,User,4,279247,279247,https://gitstarclub.com/o/trimstray,rank/all-time/org/stock.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-09-06,2026-09-06T06:37:28.831Z,34,airbnb,Organization,6,278721,278721,https://gitstarclub.com/o/airbnb,rank/all-time/org/stock.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-09-06,2026-09-06T06:37:28.831Z,35,996icu,User,1,276896,276896,https://gitstarclub.com/o/996icu,rank/all-time/org/stock.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-09-06,2026-09-06T06:37:28.831Z,36,langchain-ai,Organization,7,273547,273547,https://gitstarclub.com/o/langchain-ai,rank/all-time/org/stock.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-09-06,2026-09-06T06:37:28.831Z,37,datawhalechina,Organization,10,268850,268850,https://gitstarclub.com/o/datawhalechina,rank/all-time/org/stock.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-09-06,2026-09-06T06:37:28.831Z,38,rust-lang,Organization,7,267696,267696,https://gitstarclub.com/o/rust-lang,rank/all-time/org/stock.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
