export_schema_version,export_date,data_as_of,ranking_scope,period,metric,rank,repo_id,full_name,owner,name,language,value,current_stars,url,source_view,license,attribution
1,2026-08-14,2026-08-14T09:43:01.993Z,current_month_repo_growth,2026-08,stars_gained,1,1148788086,mattpocock/skills,mattpocock,skills,Shell,20062,216978,https://gitstarclub.com/mattpocock/skills,rank/month/2026-08/repo/flow.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-08-14,2026-08-14T09:43:01.993Z,current_month_repo_growth,2026-08,stars_gained,2,1157102282,diegosouzapw/OmniRoute,diegosouzapw,OmniRoute,TypeScript,12111,47535,https://gitstarclub.com/diegosouzapw/OmniRoute,rank/month/2026-08/repo/flow.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-08-14,2026-08-14T09:43:01.993Z,current_month_repo_growth,2026-08,stars_gained,3,1183888342,stablyai/orca,stablyai,orca,TypeScript,11051,45263,https://gitstarclub.com/stablyai/orca,rank/month/2026-08/repo/flow.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-08-14,2026-08-14T09:43:01.993Z,current_month_repo_growth,2026-08,stars_gained,4,344190478,microsoft/AI-For-Beginners,microsoft,AI-For-Beginners,Jupyter Notebook,10676,64876,https://gitstarclub.com/microsoft/AI-For-Beginners,rank/month/2026-08/repo/flow.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-08-14,2026-08-14T09:43:01.993Z,current_month_repo_growth,2026-08,stars_gained,5,1266797999,DietrichGebert/ponytail,DietrichGebert,ponytail,JavaScript,9766,102448,https://gitstarclub.com/DietrichGebert/ponytail,rank/month/2026-08/repo/flow.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-08-14,2026-08-14T09:43:01.993Z,current_month_repo_growth,2026-08,stars_gained,6,1035029907,earendil-works/pi,earendil-works,pi,TypeScript,8790,90121,https://gitstarclub.com/earendil-works/pi,rank/month/2026-08/repo/flow.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-08-14,2026-08-14T09:43:01.993Z,current_month_repo_growth,2026-08,stars_gained,7,787076358,firecrawl/firecrawl,firecrawl,firecrawl,TypeScript,8629,167164,https://gitstarclub.com/firecrawl/firecrawl,rank/month/2026-08/repo/flow.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-08-14,2026-08-14T09:43:01.993Z,current_month_repo_growth,2026-08,stars_gained,8,1165277268,Panniantong/Agent-Reach,Panniantong,Agent-Reach,Python,8486,71580,https://gitstarclub.com/Panniantong/Agent-Reach,rank/month/2026-08/repo/flow.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-08-14,2026-08-14T09:43:01.993Z,current_month_repo_growth,2026-08,stars_gained,9,1073224795,obra/superpowers,obra,superpowers,Shell,7778,271956,https://gitstarclub.com/obra/superpowers,rank/month/2026-08/repo/flow.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-08-14,2026-08-14T09:43:01.993Z,current_month_repo_growth,2026-08,stars_gained,10,1075372545,msitarzewski/agency-agents,msitarzewski,agency-agents,Shell,7538,145375,https://gitstarclub.com/msitarzewski/agency-agents,rank/month/2026-08/repo/flow.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-08-14,2026-08-14T09:43:01.993Z,current_month_repo_growth,2026-08,stars_gained,11,1024554267,NousResearch/hermes-agent,NousResearch,hermes-agent,Python,7260,230369,https://gitstarclub.com/NousResearch/hermes-agent,rank/month/2026-08/repo/flow.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-08-14,2026-08-14T09:43:01.993Z,current_month_repo_growth,2026-08,stars_gained,12,1162099055,Leonxlnx/taste-skill,Leonxlnx,taste-skill,JavaScript,6880,76402,https://gitstarclub.com/Leonxlnx/taste-skill,rank/month/2026-08/repo/flow.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-08-14,2026-08-14T09:43:01.993Z,current_month_repo_growth,2026-08,stars_gained,13,1200597263,Graphify-Labs/graphify,Graphify-Labs,graphify,Python,6876,106177,https://gitstarclub.com/Graphify-Labs/graphify,rank/month/2026-08/repo/flow.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-08-14,2026-08-14T09:43:01.993Z,current_month_repo_growth,2026-08,stars_gained,14,652712035,lyogavin/airllm,lyogavin,airllm,Jupyter Notebook,6736,31078,https://gitstarclub.com/lyogavin/airllm,rank/month/2026-08/repo/flow.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-08-14,2026-08-14T09:43:01.993Z,current_month_repo_growth,2026-08,stars_gained,15,1216785679,esengine/DeepSeek-Reasonix,esengine,DeepSeek-Reasonix,Go,6436,34557,https://gitstarclub.com/esengine/DeepSeek-Reasonix,rank/month/2026-08/repo/flow.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-08-14,2026-08-14T09:43:01.993Z,current_month_repo_growth,2026-08,stars_gained,16,132750724,codecrafters-io/build-your-own-x,codecrafters-io,build-your-own-x,Markdown,6386,539577,https://gitstarclub.com/codecrafters-io/build-your-own-x,rank/month/2026-08/repo/flow.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-08-14,2026-08-14T09:43:01.993Z,current_month_repo_growth,2026-08,stars_gained,17,1158722119,addyosmani/agent-skills,addyosmani,agent-skills,JavaScript,5975,87111,https://gitstarclub.com/addyosmani/agent-skills,rank/month/2026-08/repo/flow.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-08-14,2026-08-14T09:43:01.993Z,current_month_repo_growth,2026-08,stars_gained,18,1032808806,usestrix/strix,usestrix,strix,Python,5937,51952,https://gitstarclub.com/usestrix/strix,rank/month/2026-08/repo/flow.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-08-14,2026-08-14T09:43:01.993Z,current_month_repo_growth,2026-08,stars_gained,19,1193909050,herdrdev/herdr,herdrdev,herdr,Rust,5936,28871,https://gitstarclub.com/herdrdev/herdr,rank/month/2026-08/repo/flow.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-08-14,2026-08-14T09:43:01.993Z,current_month_repo_growth,2026-08,stars_gained,20,1183325896,emilkowalski/skills,emilkowalski,skills,Markdown,5921,29057,https://gitstarclub.com/emilkowalski/skills,rank/month/2026-08/repo/flow.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-08-14,2026-08-14T09:43:01.993Z,all_time_repo_stars,all,current_stars,1,132750724,codecrafters-io/build-your-own-x,codecrafters-io,build-your-own-x,Markdown,539577,539577,https://gitstarclub.com/codecrafters-io/build-your-own-x,rank/all-time/repo/stock.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-08-14,2026-08-14T09:43:01.993Z,all_time_repo_stars,all,current_stars,2,21737465,sindresorhus/awesome,sindresorhus,awesome,,495547,495547,https://gitstarclub.com/sindresorhus/awesome,rank/all-time/repo/stock.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-08-14,2026-08-14T09:43:01.993Z,all_time_repo_stars,all,current_stars,3,54346799,public-apis/public-apis,public-apis,public-apis,Python,456491,456491,https://gitstarclub.com/public-apis/public-apis,rank/all-time/repo/stock.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-08-14,2026-08-14T09:43:01.993Z,all_time_repo_stars,all,current_stars,4,28457823,freeCodeCamp/freeCodeCamp,freeCodeCamp,freeCodeCamp,TypeScript,454006,454006,https://gitstarclub.com/freeCodeCamp/freeCodeCamp,rank/all-time/repo/stock.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-08-14,2026-08-14T09:43:01.993Z,all_time_repo_stars,all,current_stars,5,13491895,EbookFoundation/free-programming-books,EbookFoundation,free-programming-books,Python,394380,394380,https://gitstarclub.com/EbookFoundation/free-programming-books,rank/all-time/repo/stock.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-08-14,2026-08-14T09:43:01.993Z,all_time_repo_stars,all,current_stars,6,1103012935,openclaw/openclaw,openclaw,openclaw,TypeScript,386266,386266,https://gitstarclub.com/openclaw/openclaw,rank/all-time/repo/stock.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-08-14,2026-08-14T09:43:01.993Z,all_time_repo_stars,all,current_stars,7,85077558,nilbuild/developer-roadmap,nilbuild,developer-roadmap,TypeScript,364396,364396,https://gitstarclub.com/nilbuild/developer-roadmap,rank/all-time/repo/stock.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-08-14,2026-08-14T09:43:01.993Z,all_time_repo_stars,all,current_stars,8,83222441,donnemartin/system-design-primer,donnemartin,system-design-primer,Python,363697,363697,https://gitstarclub.com/donnemartin/system-design-primer,rank/all-time/repo/stock.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-08-14,2026-08-14T09:43:01.993Z,all_time_repo_stars,all,current_stars,9,60493101,jwasham/coding-interview-university,jwasham,coding-interview-university,,358694,358694,https://gitstarclub.com/jwasham/coding-interview-university,rank/all-time/repo/stock.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-08-14,2026-08-14T09:43:01.993Z,all_time_repo_stars,all,current_stars,10,21289110,vinta/awesome-python,vinta,awesome-python,Python,313886,313886,https://gitstarclub.com/vinta/awesome-python,rank/all-time/repo/stock.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-08-14,2026-08-14T09:43:01.993Z,all_time_repo_stars,all,current_stars,11,36633370,awesome-selfhosted/awesome-selfhosted,awesome-selfhosted,awesome-selfhosted,,312548,312548,https://gitstarclub.com/awesome-selfhosted/awesome-selfhosted,rank/all-time/repo/stock.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-08-14,2026-08-14T09:43:01.993Z,all_time_repo_stars,all,current_stars,12,88011908,practical-tutorials/project-based-learning,practical-tutorials,project-based-learning,Python,279128,279128,https://gitstarclub.com/practical-tutorials/project-based-learning,rank/all-time/repo/stock.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-08-14,2026-08-14T09:43:01.993Z,all_time_repo_stars,all,current_stars,13,177736533,996icu/996.ICU,996icu,996.ICU,,276631,276631,https://gitstarclub.com/996icu/996.ICU,rank/all-time/repo/stock.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-08-14,2026-08-14T09:43:01.993Z,all_time_repo_stars,all,current_stars,14,1073224795,obra/superpowers,obra,superpowers,Shell,271956,271956,https://gitstarclub.com/obra/superpowers,rank/all-time/repo/stock.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-08-14,2026-08-14T09:43:01.993Z,all_time_repo_stars,all,current_stars,15,10270250,react/react,react,react,JavaScript,247250,247250,https://gitstarclub.com/react/react,rank/all-time/repo/stock.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-08-14,2026-08-14T09:43:01.993Z,all_time_repo_stars,all,current_stars,16,2325298,torvalds/linux,torvalds,linux,C,242794,242794,https://gitstarclub.com/torvalds/linux,rank/all-time/repo/stock.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-08-14,2026-08-14T09:43:01.993Z,all_time_repo_stars,all,current_stars,17,1136590548,affaan-m/ECC,affaan-m,ECC,JavaScript,240071,240071,https://gitstarclub.com/affaan-m/ECC,rank/all-time/repo/stock.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-08-14,2026-08-14T09:43:01.993Z,all_time_repo_stars,all,current_stars,18,138393139,trimstray/the-book-of-secret-knowledge,trimstray,the-book-of-secret-knowledge,,238267,238267,https://gitstarclub.com/trimstray/the-book-of-secret-knowledge,rank/all-time/repo/stock.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-08-14,2026-08-14T09:43:01.993Z,all_time_repo_stars,all,current_stars,19,1024554267,NousResearch/hermes-agent,NousResearch,hermes-agent,Python,230369,230369,https://gitstarclub.com/NousResearch/hermes-agent,rank/all-time/repo/stock.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-08-14,2026-08-14T09:43:01.993Z,all_time_repo_stars,all,current_stars,20,63476337,TheAlgorithms/Python,TheAlgorithms,Python,Python,223741,223741,https://gitstarclub.com/TheAlgorithms/Python,rank/all-time/repo/stock.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-08-14,2026-08-14T09:43:01.993Z,all_time_repo_stars,all,current_stars,21,1148788086,mattpocock/skills,mattpocock,skills,Shell,216978,216978,https://gitstarclub.com/mattpocock/skills,rank/all-time/repo/stock.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-08-14,2026-08-14T09:43:01.993Z,all_time_repo_stars,all,current_stars,22,11730342,vuejs/vue,vuejs,vue,TypeScript,210240,210240,https://gitstarclub.com/vuejs/vue,rank/all-time/repo/stock.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-08-14,2026-08-14T09:43:01.993Z,all_time_repo_stars,all,current_stars,23,19415064,ossu/computer-science,ossu,computer-science,HTML,207979,207979,https://gitstarclub.com/ossu/computer-science,rank/all-time/repo/stock.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-08-14,2026-08-14T09:43:01.993Z,all_time_repo_stars,all,current_stars,24,1142983825,multica-ai/andrej-karpathy-skills,multica-ai,andrej-karpathy-skills,,202347,202347,https://gitstarclub.com/multica-ai/andrej-karpathy-skills,rank/all-time/repo/stock.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
