export_schema_version,export_date,data_as_of,rank,login,owner_type,repo_count,current_stars_sum,rank_value,url,source_view,license,attribution
1,2026-08-14,2026-08-14T09:43:01.993Z,40,torvalds,User,1,242794,242794,https://gitstarclub.com/o/torvalds,rank/all-time/org/stock.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-08-14,2026-08-14T09:43:01.993Z,41,angular,Organization,6,241084,241084,https://gitstarclub.com/o/angular,rank/all-time/org/stock.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-08-14,2026-08-14T09:43:01.993Z,42,affaan-m,User,1,240071,240071,https://gitstarclub.com/o/affaan-m,rank/all-time/org/stock.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-08-14,2026-08-14T09:43:01.993Z,43,trekhleb,User,3,239416,239416,https://gitstarclub.com/o/trekhleb,rank/all-time/org/stock.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-08-14,2026-08-14T09:43:01.993Z,44,anomalyco,Organization,3,236537,236537,https://gitstarclub.com/o/anomalyco,rank/all-time/org/stock.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-08-14,2026-08-14T09:43:01.993Z,45,NousResearch,Organization,1,230369,230369,https://gitstarclub.com/o/NousResearch,rank/all-time/org/stock.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-08-14,2026-08-14T09:43:01.993Z,46,ossu,Organization,2,229861,229861,https://gitstarclub.com/o/ossu,rank/all-time/org/stock.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-08-14,2026-08-14T09:43:01.993Z,47,firecrawl,Organization,4,226802,226802,https://gitstarclub.com/o/firecrawl,rank/all-time/org/stock.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-08-14,2026-08-14T09:43:01.993Z,48,dotnet,Organization,13,226422,226422,https://gitstarclub.com/o/dotnet,rank/all-time/org/stock.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-08-14,2026-08-14T09:43:01.993Z,49,VoltAgent,Organization,5,225193,225193,https://gitstarclub.com/o/VoltAgent,rank/all-time/org/stock.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-08-14,2026-08-14T09:43:01.993Z,50,mattpocock,User,1,216978,216978,https://gitstarclub.com/o/mattpocock,rank/all-time/org/stock.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
