export_schema_version,export_date,data_as_of,ranking_scope,period,metric,rank,repo_id,full_name,owner,name,language,value,current_stars,url,source_view,license,attribution
1,2026-06-26,2026-06-26T03:00:32.123Z,current_month_repo_growth,2026-06,stars_gained,1,1255180606,pewdiepie-archdaemon/odysseus,pewdiepie-archdaemon,odysseus,Python,47346,75190,https://gitstarclub.com/pewdiepie-archdaemon/odysseus,rank/month/2026-06/repo/flow.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-06-26,2026-06-26T03:00:32.123Z,current_month_repo_growth,2026-06,stars_gained,2,1148788086,mattpocock/skills,mattpocock,skills,Shell,31057,138482,https://gitstarclub.com/mattpocock/skills,rank/month/2026-06/repo/flow.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-06-26,2026-06-26T03:00:32.123Z,current_month_repo_growth,2026-06,stars_gained,3,1129940957,chopratejas/headroom,chopratejas,headroom,Python,29297,39027,https://gitstarclub.com/chopratejas/headroom,rank/month/2026-06/repo/flow.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-06-26,2026-06-26T03:00:32.123Z,current_month_repo_growth,2026-06,stars_gained,4,1024554267,NousResearch/hermes-agent,NousResearch,hermes-agent,Python,27129,198450,https://gitstarclub.com/NousResearch/hermes-agent,rank/month/2026-06/repo/flow.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-06-26,2026-06-26T03:00:32.123Z,current_month_repo_growth,2026-06,stars_gained,5,888092115,microsoft/markitdown,microsoft,markitdown,Python,24764,156124,https://gitstarclub.com/microsoft/markitdown,rank/month/2026-06/repo/flow.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-06-26,2026-06-26T03:00:32.123Z,current_month_repo_growth,2026-06,stars_gained,6,1073224795,obra/superpowers,obra,superpowers,Shell,23676,234386,https://gitstarclub.com/obra/superpowers,rank/month/2026-06/repo/flow.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-06-26,2026-06-26T03:00:32.123Z,current_month_repo_growth,2026-06,stars_gained,7,1031912724,farion1231/cc-switch,farion1231,cc-switch,Rust,20956,105310,https://gitstarclub.com/farion1231/cc-switch,rank/month/2026-06/repo/flow.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-06-26,2026-06-26T03:00:32.123Z,current_month_repo_growth,2026-06,stars_gained,8,1136590548,affaan-m/ECC,affaan-m,ECC,JavaScript,20724,218933,https://gitstarclub.com/affaan-m/ECC,rank/month/2026-06/repo/flow.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-06-26,2026-06-26T03:00:32.123Z,current_month_repo_growth,2026-06,stars_gained,9,1182081931,Egonex-AI/Understand-Anything,Egonex-AI,Understand-Anything,TypeScript,20495,64121,https://gitstarclub.com/Egonex-AI/Understand-Anything,rank/month/2026-06/repo/flow.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-06-26,2026-06-26T03:00:32.123Z,current_month_repo_growth,2026-06,stars_gained,10,1162099055,Leonxlnx/taste-skill,Leonxlnx,taste-skill,Shell,20120,47189,https://gitstarclub.com/Leonxlnx/taste-skill,rank/month/2026-06/repo/flow.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-06-26,2026-06-26T03:00:32.123Z,current_month_repo_growth,2026-06,stars_gained,11,1165277268,Panniantong/Agent-Reach,Panniantong,Agent-Reach,Python,18748,36129,https://gitstarclub.com/Panniantong/Agent-Reach,rank/month/2026-06/repo/flow.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-06-26,2026-06-26T03:00:32.123Z,current_month_repo_growth,2026-06,stars_gained,12,1137078255,colbymchenry/codegraph,colbymchenry,codegraph,TypeScript,18560,52062,https://gitstarclub.com/colbymchenry/codegraph,rank/month/2026-06/repo/flow.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-06-26,2026-06-26T03:00:32.123Z,current_month_repo_growth,2026-06,stars_gained,13,1158722119,addyosmani/agent-skills,addyosmani,agent-skills,Shell,18514,63453,https://gitstarclub.com/addyosmani/agent-skills,rank/month/2026-06/repo/flow.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-06-26,2026-06-26T03:00:32.123Z,current_month_repo_growth,2026-06,stars_gained,14,1142983825,multica-ai/andrej-karpathy-skills,multica-ai,andrej-karpathy-skills,,18345,178870,https://gitstarclub.com/multica-ai/andrej-karpathy-skills,rank/month/2026-06/repo/flow.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-06-26,2026-06-26T03:00:32.123Z,current_month_repo_growth,2026-06,stars_gained,15,770153867,harry0703/MoneyPrinterTurbo,harry0703,MoneyPrinterTurbo,Python,18128,90091,https://gitstarclub.com/harry0703/MoneyPrinterTurbo,rank/month/2026-06/repo/flow.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-06-26,2026-06-26T03:00:32.123Z,current_month_repo_growth,2026-06,stars_gained,16,1266797999,DietrichGebert/ponytail,DietrichGebert,ponytail,JavaScript,18080,40272,https://gitstarclub.com/DietrichGebert/ponytail,rank/month/2026-06/repo/flow.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-06-26,2026-06-26T03:00:32.123Z,current_month_repo_growth,2026-06,stars_gained,17,942867788,elder-plinius/CL4R1T4S,elder-plinius,CL4R1T4S,,17246,42606,https://gitstarclub.com/elder-plinius/CL4R1T4S,rank/month/2026-06/repo/flow.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-06-26,2026-06-26T03:00:32.123Z,current_month_repo_growth,2026-06,stars_gained,18,1140843380,mvanhorn/last30days-skill,mvanhorn,last30days-skill,Python,16810,45139,https://gitstarclub.com/mvanhorn/last30days-skill,rank/month/2026-06/repo/flow.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-06-26,2026-06-26T03:00:32.123Z,current_month_repo_growth,2026-06,stars_gained,19,993475914,apple/container,apple,container,Swift,15839,38882,https://gitstarclub.com/apple/container,rank/month/2026-06/repo/flow.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-06-26,2026-06-26T03:00:32.123Z,current_month_repo_growth,2026-06,stars_gained,20,1223170290,nexu-io/open-design,nexu-io,open-design,TypeScript,14039,67947,https://gitstarclub.com/nexu-io/open-design,rank/month/2026-06/repo/flow.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-06-26,2026-06-26T03:00:32.123Z,all_time_repo_stars,all,current_stars,1,132750724,codecrafters-io/build-your-own-x,codecrafters-io,build-your-own-x,Markdown,517473,517473,https://gitstarclub.com/codecrafters-io/build-your-own-x,rank/all-time/repo/stock.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-06-26,2026-06-26T03:00:32.123Z,all_time_repo_stars,all,current_stars,2,21737465,sindresorhus/awesome,sindresorhus,awesome,,477198,477198,https://gitstarclub.com/sindresorhus/awesome,rank/all-time/repo/stock.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-06-26,2026-06-26T03:00:32.123Z,all_time_repo_stars,all,current_stars,3,28457823,freeCodeCamp/freeCodeCamp,freeCodeCamp,freeCodeCamp,TypeScript,449827,449827,https://gitstarclub.com/freeCodeCamp/freeCodeCamp,rank/all-time/repo/stock.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-06-26,2026-06-26T03:00:32.123Z,all_time_repo_stars,all,current_stars,4,54346799,public-apis/public-apis,public-apis,public-apis,Python,442941,442941,https://gitstarclub.com/public-apis/public-apis,rank/all-time/repo/stock.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-06-26,2026-06-26T03:00:32.123Z,all_time_repo_stars,all,current_stars,5,13491895,EbookFoundation/free-programming-books,EbookFoundation,free-programming-books,Python,390527,390557,https://gitstarclub.com/EbookFoundation/free-programming-books,rank/all-time/repo/stock.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-06-26,2026-06-26T03:00:32.123Z,all_time_repo_stars,all,current_stars,6,1103012935,openclaw/openclaw,openclaw,openclaw,TypeScript,379539,379539,https://gitstarclub.com/openclaw/openclaw,rank/all-time/repo/stock.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-06-26,2026-06-26T03:00:32.123Z,all_time_repo_stars,all,current_stars,7,85077558,nilbuild/developer-roadmap,nilbuild,developer-roadmap,TypeScript,357752,357840,https://gitstarclub.com/nilbuild/developer-roadmap,rank/all-time/repo/stock.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-06-26,2026-06-26T03:00:32.123Z,all_time_repo_stars,all,current_stars,8,83222441,donnemartin/system-design-primer,donnemartin,system-design-primer,Python,353960,353960,https://gitstarclub.com/donnemartin/system-design-primer,rank/all-time/repo/stock.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-06-26,2026-06-26T03:00:32.123Z,all_time_repo_stars,all,current_stars,9,60493101,jwasham/coding-interview-university,jwasham,coding-interview-university,,353088,353270,https://gitstarclub.com/jwasham/coding-interview-university,rank/all-time/repo/stock.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
