export_schema_version,export_date,data_as_of,rank,repo_id,full_name,owner,name,language,current_stars,crossed_10k,crossed_50k,crossed_100k,url,source_views,license,attribution
1,2026-06-26,2026-06-26T03:00:32.123Z,31,14440270,getify/You-Dont-Know-JS,getify,You-Dont-Know-JS,,184540,2015-08-26,2017-03-30,2019-05-02,https://gitstarclub.com/getify/You-Dont-Know-JS,rank/all-time/repo/stock.json;lookup/repos.json;entity/repo/14440270.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-06-26,2026-06-26T03:00:32.123Z,32,123458551,jackfrued/Python-100-Days,jackfrued,Python-100-Days,Jupyter Notebook,183566,2019-05-03,2019-07-05,2020-07-14,https://gitstarclub.com/jackfrued/Python-100-Days,rank/all-time/repo/stock.json;lookup/repos.json;entity/repo/123458551.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-06-26,2026-06-26T03:00:32.123Z,33,233472199,massgravel/Microsoft-Activation-Scripts,massgravel,Microsoft-Activation-Scripts,Batchfile,179710,2022-01-17,2023-11-02,2024-10-24,https://gitstarclub.com/massgravel/Microsoft-Activation-Scripts,rank/all-time/repo/stock.json;lookup/repos.json;entity/repo/233472199.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-06-26,2026-06-26T03:00:32.123Z,34,808144141,DigitalPlatDev/FreeDomain,DigitalPlatDev,FreeDomain,HTML,179427,2024-11-07,2025-01-05,2025-10-03,https://gitstarclub.com/DigitalPlatDev/FreeDomain,rank/all-time/repo/stock.json;lookup/repos.json;entity/repo/808144141.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-06-26,2026-06-26T03:00:32.123Z,35,1142983825,multica-ai/andrej-karpathy-skills,multica-ai,andrej-karpathy-skills,,178870,2026-04-19,,,https://gitstarclub.com/multica-ai/andrej-karpathy-skills,rank/all-time/repo/stock.json;lookup/repos.json;entity/repo/1142983825.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-06-26,2026-06-26T03:00:32.123Z,36,31792824,flutter/flutter,flutter,flutter,Dart,177011,2018-01-01,2019-01-15,2020-06-05,https://gitstarclub.com/flutter/flutter,rank/all-time/repo/stock.json;lookup/repos.json;entity/repo/31792824.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-06-26,2026-06-26T03:00:32.123Z,37,975734319,anomalyco/opencode,anomalyco,opencode,TypeScript,176410,2025-08-03,2026-03-20,,https://gitstarclub.com/anomalyco/opencode,rank/all-time/repo/stock.json;lookup/repos.json;entity/repo/975734319.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-06-26,2026-06-26T03:00:32.123Z,38,21540759,avelino/awesome-go,avelino,awesome-go,Go,175974,2016-07-26,2020-01-15,2023-02-22,https://gitstarclub.com/avelino/awesome-go,rank/all-time/repo/stock.json;lookup/repos.json;entity/repo/21540759.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-06-26,2026-06-26T03:00:32.123Z,39,658928958,ollama/ollama,ollama,ollama,Go,174617,2023-10-24,2024-04-01,2024-12-18,https://gitstarclub.com/ollama/ollama,rank/all-time/repo/stock.json;lookup/repos.json;entity/repo/658928958.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-06-26,2026-06-26T03:00:32.123Z,40,1062897,github/gitignore,github,gitignore,,174509,2015-11-20,2018-04-26,2020-12-18,https://gitstarclub.com/github/gitignore,rank/all-time/repo/stock.json;lookup/repos.json;entity/repo/1062897.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-06-26,2026-06-26T03:00:32.123Z,41,2126244,twbs/bootstrap,twbs,bootstrap,MDX,174347,2015-07-10,2017-07-03,2021-01-20,https://gitstarclub.com/twbs/bootstrap,rank/all-time/repo/stock.json;lookup/repos.json;entity/repo/2126244.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-06-26,2026-06-26T03:00:32.123Z,42,307260205,yt-dlp/yt-dlp,yt-dlp,yt-dlp,Python,172145,2021-12-18,2023-08-13,2025-03-09,https://gitstarclub.com/yt-dlp/yt-dlp,rank/all-time/repo/stock.json;lookup/repos.json;entity/repo/307260205.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-06-26,2026-06-26T03:00:32.123Z,43,574523116,f/prompts.chat,f,prompts.chat,HTML,163959,2022-12-29,2023-03-27,2024-04-15,https://gitstarclub.com/f/prompts.chat,rank/all-time/repo/stock.json;lookup/repos.json;entity/repo/574523116.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-06-26,2026-06-26T03:00:32.123Z,44,527591471,AUTOMATIC1111/stable-diffusion-webui,AUTOMATIC1111,stable-diffusion-webui,Python,163801,2022-10-11,2023-03-23,2023-09-19,https://gitstarclub.com/AUTOMATIC1111/stable-diffusion-webui,rank/all-time/repo/stock.json;lookup/repos.json;entity/repo/527591471.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-06-26,2026-06-26T03:00:32.123Z,45,58028038,521xueweihan/HelloGitHub,521xueweihan,HelloGitHub,Python,162138,2019-02-28,2021-09-18,2024-11-20,https://gitstarclub.com/521xueweihan/HelloGitHub,rank/all-time/repo/stock.json;lookup/repos.json;entity/repo/58028038.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-06-26,2026-06-26T03:00:32.123Z,46,155220641,huggingface/transformers,huggingface,transformers,Python,161733,2019-07-26,2021-06-12,2023-04-28,https://gitstarclub.com/huggingface/transformers,rank/all-time/repo/stock.json;lookup/repos.json;entity/repo/155220641.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-06-26,2026-06-26T03:00:32.123Z,47,35955666,jlevy/the-art-of-command-line,jlevy,the-art-of-command-line,,161381,2015-06-19,2019-05-27,2021-09-06,https://gitstarclub.com/jlevy/the-art-of-command-line,rank/all-time/repo/stock.json;lookup/repos.json;entity/repo/35955666.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-06-26,2026-06-26T03:00:32.123Z,48,132464395,Snailclimb/JavaGuide,Snailclimb,JavaGuide,JavaScript,156482,2018-10-29,2019-07-17,2020-11-14,https://gitstarclub.com/Snailclimb/JavaGuide,rank/all-time/repo/stock.json;lookup/repos.json;entity/repo/132464395.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-06-26,2026-06-26T03:00:32.123Z,49,888092115,microsoft/markitdown,microsoft,markitdown,Python,156124,2024-12-16,2025-04-24,,https://gitstarclub.com/microsoft/markitdown,rank/all-time/repo/stock.json;lookup/repos.json;entity/repo/888092115.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
1,2026-06-26,2026-06-26T03:00:32.123Z,50,1061953414,anthropics/skills,anthropics,skills,Python,153271,2025-12-22,,,https://gitstarclub.com/anthropics/skills,rank/all-time/repo/stock.json;lookup/repos.json;entity/repo/1061953414.json,CC BY 4.0,"Data from GH Archive, derived by GitStarClub."
